username,userid,profile_location,created_at,text,retweet_count,source,coordinates
William Serpe,1527049008354430976,"Englewood, CO",2022-05-18 22:11:01,"But seriously, this is getting out of control what is true definition climate change?🙄",0,Twitter for iPhone,
Adam RumDiesOnB,1514619594320789506,"Denver, CO",2022-04-14 15:00:42,@CBSNews Prove them wrong. They are taking down literally what they propose they will do. Such as a lock down for climate change.,0,Twitter for Android,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,@Nhbare603 @elonmusk @engineers_feed I’ll take 100 Chernobyls before I take climate change.,0,Twitter for iPhone,
mayorpaulcc,1168929589659230208,"Denver, CO",2019-09-03 16:52:06,Libs won’t be happy until we are all freezing in the dark.                             Greta Thunberg removed by Ge… https://t.co/7Ma9Gyc7gL,0,Twitter for iPhone,
Natalie Zahn,3214653033,"Denver, CO",2015-04-27 21:16:29,This new research to help predict #flooding is so important as the #climate continues to change and shift over time… https://t.co/paL16P3h61,0,Hootsuite Inc.,
Chris Everard,968901570837430272,"Denver, CO",2018-02-28 17:31:50,@sav_says_ There is plenty of snow in Colorado. Maybe we're not part of climate change...,0,Twitter for Android,
The Denver Post,8216772,"Denver, CO",2007-08-16 04:20:09,"Opinion | ""Skiers both depend on the climate and have an outsize impact on climate change"" https://t.co/e2HsFYAyE9",1,SocialFlow,
Estefan Escobar Cortez,26913866,"Denver, CO",2009-03-27 01:31:53,@MGoodland @DroughtGov @colo_politics That’s a lot of climate change!,0,Twitter for iPhone,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,"@BrianGitt Sure but you do realize climate change will make all those concerns a lot more dire with social disruption, right?",0,Twitter for iPhone,
Eyes On,560765705,"Denver, CO",2012-04-23 02:27:13,"Doesn't matter if it's too wet or too dry, too warm or too cold.
It's all climate change!
My column this week in… https://t.co/P2BTqTN8X6",1,Twitter Web App,
Denver Post Sports,24725032,"Denver, Colorado",2009-03-16 16:59:12,"Opinion | ""Skiers both depend on the climate and have an outsize impact on climate change."" https://t.co/CzopKPKnWh",0,SocialFlow,
Eric Johnson,1586065777249071104,"Denver, CO",2022-10-28 18:43:07,"We just entered the “La Nina” phase of weather. That means lower temperatures for next few years. Climate activist,… https://t.co/k0B7KDxjUu",0,Twitter for iPad,
